CODIGO_PRODUCTO;NOMBRE;FAMILIA
PLT0001;Aquamundo;PERROS
PLT0002;Bulky;PERROS
PLT0003;Cachupin;PERROS
PLT0004;Cannes;PERROS
PLT0005;Champion;PERROS
PLT0006;Cubidog;PERROS
PLT0007;Dingo;PERROS
PLT0008;Dog Chow;PERROS
PLT0009;Dog Chow Super;PERROS
PLT0010;Fit formula;PERROS
PLT0011;Goofy;PERROS
PLT0012;Hollyvet;PERROS
PLT0013;Lite Buffet;PERROS
PLT0014;Master Dog;PERROS
PLT0015;Mr. Chef;PERROS
PLT0016;Osram;PERROS
PLT0017;Pedigree;PERROS
PLT0018;Pet's fun;PERROS
PLT0019;Sabrokan;PERROS
PLT0020;Cat chow;GATOS
PLT0021;Champion Katt;GATOS
PLT0022;Lite Buffet;GATOS
PLT0023;Master Cat;GATOS
PLT0024;Mr Chef Beef;GATOS
PLT0025;My Katt;GATOS
PLT0026;Whiskas;GATOS
PLT0027;Nutrafin Basix Alimento para Peces de Aguas Frias;PECES
PLT0028;Sera Goldy Peces Agua Fria – 22gr Frasco;PECES
PLT0029;Acondicionador Anticloro para Acuarios de Peces Tropicales;PECES
PLT0030;Acondicionador biologico sera bio nitrivec Acuarios Dulces;PECES
PLT0031;Acondicionador Limpiador Biológico de desechos de Acuarios;PECES
PLT0032;Acondicionador Suplemento Biológico para Acuario;PECES
PLT0033;Anticloro sera aquatan Acuarios Dulces/Salados;PECES
PLT0034;Calefactor 50 W – Acuario de 30 a 50 lts – SERA;PECES
PLT0035;Elite 800 -Bomba de aire – hasta 37,8 lts;PECES
PLT0036;Concentrado Vitaminico PRIME para Aves – 20 g;AVES
PLT0037;Jaula de Transporte para pequeños mamíferos – Prevue;AVES
PLT0038;Mazuri – Small Bird Diet – 1,13kg;AVES
PLT0039;MULTIVITAMINICO AVES – 20 ml – Mini Pets;AVES
PLT0040;Polvo Coagulante para Uñas – Four Paws Quick Blood Stopper 14gr.;AVES
PLT0041;Transportador para Pequeños Animales – Living World – Small;AVES
PLT0042;Zoo Med – Can o´Crickets Grillos adultos enlatados 35gr;AVES
PLT0043;Zoo Med – Can o´Snails 50 gr Caracoles enlatados;AVES
PLT0044;Bebedero de vidrio para Hamster Cobayos Hurones 177ml;HAMSTER
PLT0045;Bebedero de vidrio para Hamster Cobayos Hurones 355ml;HAMSTER
PLT0046;Bolso de Transporte Marshall para Pequeñas Mascotas;HAMSTER
PLT0047;Casa Desmontable para Cuye Huron Conejo Snap Inn – Grande – L.W.;HAMSTER
