DOCUMENTO;CODIGO_PRODUCTO;PRECIO_UNITARIO;CANTIDAD;TOTAL;COSTO_UNITARIO
FAC0038484;PLT0029;16136;3;48408;9492
FAC0038485;PLT0041;18897;6;113382;11116
FAC0038486;PLT0022;28111;4;112444;16536
FAC0038487;PLT0030;21117;2;42234;12422
FAC0038488;PLT0020;32766;3;98298;19274
FAC0038489;PLT0034;11917;8;95336;7010
FAC0038490;PLT0022;28111;2;56222;16536
FAC0038491;PLT0006;24613;10;246130;14478
FAC0038492;PLT0009;22639;7;158473;13317
FAC0038493;PLT0020;32766;7;229362;19274
FAC0038494;PLT0040;24668;1;24668;14511
FAC0038495;PLT0017;33597;7;235179;19763
FAC0038496;PLT0014;5638;10;56380;3316
FAC0038497;PLT0035;13674;8;109392;8044
FAC0038498;PLT0044;10146;6;60876;5968
FAC0038499;PLT0006;24613;5;123065;14478
FAC0038500;PLT0040;24668;10;246680;14511
FAC0038501;PLT0016;17636;8;141088;10374
FAC0038502;PLT0022;28111;10;281110;16536
FAC0038503;PLT0022;28111;2;56222;16536
FAC0038504;PLT0035;13674;5;68370;8044
FAC0038505;PLT0019;21410;5;107050;12594
FAC0038506;PLT0036;27243;5;136215;16025
FAC0038507;PLT0033;21097;8;168776;12410
FAC0038508;PLT0003;25406;5;127030;14945
FAC0038509;PLT0004;19506;10;195060;11474
FAC0038510;PLT0001;10201;6;61206;6001
FAC0038511;PLT0022;28111;6;168666;16536
FAC0038512;PLT0017;33597;5;167985;19763
FAC0038513;PLT0041;18897;2;37794;11116
FAC0038514;PLT0010;7946;1;7946;4674
FAC0038515;PLT0043;14334;10;143340;8432
FAC0038516;PLT0034;11917;4;47668;7010
FAC0038517;PLT0037;20147;9;181323;11851
FAC0038518;PLT0002;16035;1;16035;9432
FAC0038519;PLT0043;14334;7;100338;8432
FAC0038520;PLT0018;21805;2;43610;12826
FAC0038521;PLT0044;10146;5;50730;5968
FAC0038522;PLT0013;16922;8;135376;9954
FAC0038523;PLT0020;32766;7;229362;19274
FAC0038524;PLT0033;21097;8;168776;12410
FAC0038525;PLT0019;21410;8;171280;12594
FAC0038526;PLT0013;16922;9;152298;9954
FAC0038527;PLT0045;34710;7;242970;20418
FAC0038528;PLT0032;10479;3;31437;6164
FAC0038529;PLT0006;24613;6;147678;14478
FAC0038530;PLT0011;25298;3;75894;14881
FAC0038531;PLT0014;5638;4;22552;3316
FAC0038532;PLT0008;27709;5;138545;16299
FAC0038533;PLT0045;34710;4;138840;20418
FAC0038534;PLT0016;17636;2;35272;10374
FAC0038535;PLT0029;16136;5;80680;9492
FAC0038536;PLT0004;19506;7;136542;11474
FAC0038537;PLT0039;6179;1;6179;3635
FAC0038538;PLT0040;24668;3;74004;14511
FAC0038539;PLT0045;34710;8;277680;20418
FAC0038540;PLT0040;24668;7;172676;14511
FAC0038541;PLT0012;9483;3;28449;5578
FAC0038542;PLT0045;34710;5;173550;20418
FAC0038543;PLT0027;22873;8;182984;13455
FAC0038544;PLT0027;22873;10;228730;13455
FAC0038545;PLT0024;6170;7;43190;3629
FAC0038546;PLT0006;24613;8;196904;14478
