DOCUMENTO;FECHA;ID_CLIENTE;TIPO_DOCUMENTO;ID_VENDEDOR;CANAL_ID;TOTAL_NETO;IMPUESTO;TOTAL_DOCUMENTO
FAC0030000;2015-05-31;CLI00530;FACTURA;41;1;142540;27083;169623
FAC0030001;2015-06-03;CLI00867;FACTURA;29;2;84610;16076;100686
FAC0030002;2015-08-23;CLI00892;FACTURA;35;1;277680;52759;330439
FAC0030003;2015-12-19;CLI00789;FACTURA;48;2;50596;9613;60209
FAC0030004;2015-05-27;CLI00673;FACTURA;1;2;57336;10894;68230
FAC0030005;2015-11-17;CLI00630;FACTURA;48;1;21805;4143;25948
FAC0030006;2015-06-06;CLI00583;FACTURA;46;2;192690;36611;229301
FAC0030007;2015-11-10;CLI00190;FACTURA;48;1;32272;6132;38404
FAC0030008;2015-05-12;CLI00675;FACTURA;34;2;141029;26796;167825
FAC0030009;2015-01-21;CLI00548;FACTURA;27;1;159498;30305;189803
FAC0030010;2015-05-30;CLI00662;FACTURA;35;1;15892;3019;18911
FAC0030011;2015-01-09;CLI00507;FACTURA;17;2;123065;23382;146447
FAC0030012;2015-01-05;CLI00162;FACTURA;45;1;21097;4008;25105
FAC0030013;2015-08-26;CLI00168;FACTURA;48;1;216568;41148;257716
FAC0030014;2015-05-03;CLI00883;FACTURA;29;2;56222;10682;66904
FAC0030015;2015-05-03;CLI00434;FACTURA;26;1;31437;5973;37410
FAC0030016;2015-12-07;CLI00002;FACTURA;16;1;37932;7207;45139
FAC0030017;2015-12-07;CLI00968;FACTURA;50;1;51005;9691;60696
FAC0030018;2015-09-16;CLI00983;FACTURA;37;2;16035;3047;19082
FAC0030019;2015-09-07;CLI00134;FACTURA;40;1;217944;41409;259353
FAC0030020;2015-03-21;CLI00309;FACTURA;42;2;177648;33753;211401
FAC0030021;2015-11-13;CLI00971;FACTURA;29;2;217944;41409;259353
FAC0030022;2015-04-04;CLI00381;FACTURA;26;2;216568;41148;257716
FAC0030023;2015-09-17;CLI00973;FACTURA;1;2;13674;2598;16272
FAC0030024;2015-05-13;CLI00839;FACTURA;37;2;71670;13617;85287
FAC0030025;2015-01-27;CLI00141;FACTURA;41;2;67688;12861;80549
FAC0030026;2015-01-22;CLI00995;FACTURA;9;2;55530;10551;66081
FAC0030027;2015-06-04;CLI00850;FACTURA;1;1;81729;15529;97258
FAC0030028;2015-12-27;CLI00523;FACTURA;42;2;140555;26705;167260
FAC0030029;2015-03-09;CLI00164;FACTURA;35;1;21410;4068;25478
FAC0030030;2015-02-25;CLI00864;FACTURA;39;1;161176;30623;191799
FAC0030031;2015-02-26;CLI00756;FACTURA;37;1;128460;24407;152867
FAC0030032;2015-05-29;CLI00571;FACTURA;47;2;47668;9057;56725
FAC0030033;2015-07-28;CLI00423;FACTURA;32;2;181112;34411;215523
FAC0030034;2015-11-07;CLI00496;FACTURA;27;1;100735;19140;119875
FAC0030035;2015-10-29;CLI00776;FACTURA;39;1;228654;43444;272098
FAC0030036;2015-08-24;CLI00884;FACTURA;42;1;224888;42729;267617
FAC0030037;2015-10-19;CLI00944;FACTURA;39;1;79460;15097;94557
FAC0030038;2015-06-01;CLI00518;FACTURA;47;1;52908;10053;62961
FAC0030039;2015-12-17;CLI00672;FACTURA;23;1;167985;31917;199902
FAC0030040;2015-02-01;CLI00151;FACTURA;46;2;114540;21763;136303
FAC0030041;2015-01-16;CLI00090;FACTURA;37;1;120882;22968;143850
FAC0030042;2015-06-15;CLI00358;FACTURA;49;1;21117;4012;25129
FAC0030043;2015-08-12;CLI00004;FACTURA;30;1;249381;47382;296763
FAC0030044;2015-04-01;CLI00462;FACTURA;7;1;186081;35355;221436
FAC0030045;2015-11-13;CLI00342;FACTURA;13;1;80178;15234;95412
FAC0030046;2015-01-16;CLI00187;FACTURA;40;2;347100;65949;413049
FAC0030047;2015-12-21;CLI00844;FACTURA;4;1;81729;15529;97258
FAC0030048;2015-01-27;CLI00585;FACTURA;20;2;81213;15430;96643
FAC0030049;2015-07-30;CLI00159;FACTURA;47;2;63568;12078;75646
FAC0030050;2015-02-23;CLI00637;FACTURA;37;2;249381;47382;296763
FAC0030051;2015-09-17;CLI00098;FACTURA;10;1;47415;9009;56424
FAC0030052;2015-07-06;CLI00600;FACTURA;13;1;186081;35355;221436
FAC0030053;2015-08-14;CLI00624;FACTURA;6;1;163458;31057;194515
FAC0030054;2015-07-20;CLI00180;FACTURA;26;1;138545;26324;164869
FAC0030055;2015-09-03;CLI00811;FACTURA;1;2;34804;6613;41417
FAC0030056;2015-08-10;CLI00187;FACTURA;46;2;56380;10712;67092
FAC0030057;2015-07-28;CLI00845;FACTURA;7;2;20343;3865;24208
FAC0030058;2015-12-14;CLI00656;FACTURA;47;1;151176;28723;179899
FAC0030059;2015-08-22;CLI00527;FACTURA;36;2;190053;36110;226163
FAC0030060;2015-09-26;CLI00486;FACTURA;34;1;145015;27553;172568
FAC0030061;2015-08-11;CLI00843;FACTURA;6;2;190053;36110;226163
FAC0030062;2015-01-31;CLI00116;FACTURA;12;1;123065;23382;146447
FAC0030063;2015-03-02;CLI00484;FACTURA;50;1;33828;6427;40255
FAC0030064;2015-12-05;CLI00625;FACTURA;46;2;94485;17952;112437
FAC0030065;2015-04-05;CLI00481;FACTURA;29;2;33792;6420;40212
FAC0030066;2015-01-23;CLI00869;FACTURA;22;2;243639;46291;289930
FAC0030067;2015-01-22;CLI00913;FACTURA;3;2;105485;20042;125527
FAC0030068;2015-12-02;CLI00013;FACTURA;3;2;147678;28059;175737
FAC0030069;2015-03-07;CLI00514;FACTURA;47;1;136740;25981;162721
FAC0030070;2015-07-21;CLI00803;FACTURA;43;2;25473;4840;30313
FAC0030071;2015-05-06;CLI00207;FACTURA;32;2;47676;9058;56734
FAC0030072;2015-08-01;CLI00980;FACTURA;11;1;193963;36853;230816
FAC0030073;2015-02-13;CLI00934;FACTURA;3;1;172676;32808;205484
FAC0030074;2015-02-23;CLI00656;FACTURA;20;1;114672;21788;136460
FAC0030075;2015-06-20;CLI00940;FACTURA;34;1;12340;2345;14685
FAC0030076;2015-05-11;CLI00337;FACTURA;17;2;34187;6496;40683
FAC0030077;2015-04-26;CLI00546;FACTURA;26;1;256572;48749;305321
FAC0030078;2015-01-31;CLI00262;FACTURA;24;1;25406;4827;30233
FAC0030079;2015-10-29;CLI00410;FACTURA;19;1;9483;1802;11285
FAC0030080;2015-02-24;CLI00707;FACTURA;26;2;203751;38713;242464
FAC0030081;2015-02-16;CLI00487;FACTURA;11;2;50766;9646;60412
FAC0030082;2015-05-21;CLI00362;FACTURA;26;1;25473;4840;30313
FAC0030083;2015-07-19;CLI00086;FACTURA;7;1;43253;8218;51471
FAC0030084;2015-03-29;CLI00913;FACTURA;12;2;45746;8692;54438
FAC0030085;2015-12-30;CLI00794;FACTURA;47;1;57270;10881;68151
FAC0030086;2015-06-14;CLI00244;FACTURA;31;1;123452;23456;146908
FAC0030087;2015-04-15;CLI00110;FACTURA;16;1;55611;10566;66177
FAC0030088;2015-11-24;CLI00278;FACTURA;32;1;105485;20042;125527
FAC0030089;2015-09-11;CLI00829;FACTURA;10;2;169220;32152;201372
FAC0030090;2015-07-15;CLI00894;FACTURA;46;1;222012;42182;264194
